"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","订单类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","期权监管费","期权清算费","期权交收费","证监会规费","交易活动费","交易系统使用费","综合审计跟踪监管费","合计费用"
"买入","HIMS","Hims & Hers Health","45.10","100","4,510.00","已撤单","0@0.00","2025/08/05 04:59:59 (美东)","限价单","2025/09/05 (美东) 收盘前有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","BRK.B","伯克希尔-B","460.90","5","2,304.50","全部成交","5@460.56","2025/08/05 04:18:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","460.56","2,302.80","2025/08/05 04:18:53 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖出","FIG","FIGMA INC","市价","1","107.02","全部成交","1@107.02","2025/08/04 09:35:11 (美东)","市价单","当日有效","","盘中","","","美股","USD","","1","107.02","107.02","2025/08/04 09:35:12 (美东)","美股","USD","","","0.99","1","0","","","","","","","","","0.01","","0","2"
"卖出","FIG","FIGMA INC","107.69","1","107.69","已撤单","0@0.00","2025/08/04 09:34:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","BRK.B","伯克希尔-B","市价","5","2,295.80","全部成交","5@459.16","2025/08/04 09:34:48 (美东)","市价单","当日有效","","盘中","","","美股","USD","","5","459.16","2,295.80","2025/08/04 09:34:49 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"卖出","BRK.B","伯克希尔-B","459.19","5","2,295.95","已撤单","0@0.00","2025/08/04 09:34:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","09988","阿里巴巴-W","116.20","100","11,620.00","全部成交","100@116.10","2025/08/04 10:11:46 (香港)","限价单","当日有效","允许","","","","港股","HKD","","100","116.10","11,610.00","2025/08/04 10:11:47 (香港)","港股","HKD","8130","","3.48","15","0.49","12","0.66","0.31","0.02","","","","","","","","31.96"
"买入","01810","小米集团-W","50.00","200","10,000.00","已撤单","0@0.00","2025/08/04 02:07:08 (香港)","限价单","2025/08/11 (香港) 收盘前有效","允许","","","","港股","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","INOD","Innodata","45.56","10","455.60","全部成交","10@45.56","2025/08/01 14:45:38 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","45.56","455.60","2025/08/01 16:12:36 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","0.01","","0","2.03"
"卖出","AMZN","亚马逊","215.93","30","6,477.90","全部成交","30@215.95","2025/08/01 11:14:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","215.95","6,478.50","2025/08/01 11:14:33 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","0.01","","0","2.09"
"卖出","AAPL","苹果","市价","5","1,018.58","全部成交","5@203.715","2025/08/01 10:44:01 (美东)","市价单","当日有效","","盘中","","","美股","USD","","5","203.715","1,018.58","2025/08/01 10:44:01 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"卖出","AAPL","苹果","203.91","5","1,019.55","已撤单","0@0.00","2025/08/01 10:43:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.31","50","515.50","全部成交","50@10.3095","2025/08/01 10:13:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","50","10.3095","515.48","2025/08/01 10:13:14 (美东)","美股","USD","","","0.99","1","0.15","","","","","","","","","","","0","2.14"
"卖出","AMZN","亚马逊","217.74","5","1,088.70","全部成交","5@217.74","2025/08/01 10:02:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","217.74","1,088.70","2025/08/01 10:02:49 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.20","50","510.00","全部成交","50@10.1778","2025/08/01 09:57:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","50","10.1778","508.89","2025/08/01 09:57:04 (美东)","美股","USD","","","0.99","1","0.15","","","","","","","","","","","0","2.14"
"卖出","INOD","Innodata","44.60","15","669.00","全部成交","15@44.60","2025/08/01 09:43:41 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","44.60","669.00","2025/08/01 09:43:42 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
"买入","FIG","FIGMA INC","100.00","1","100.00","已撤单","0@0.00","2025/07/31 14:15:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","FIG","FIGMA INC","105.00","1","105.00","全部成交","1@102.72","2025/07/31 14:15:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1","102.72","102.72","2025/07/31 14:20:45 (美东)","美股","USD","","","0.99","1","0","","","","","","","","","","","0","1.99"
"卖出","FIG","FIGMA INC","市价","1","108.90","全部成交","1@108.895","2025/07/31 14:13:48 (美东)","市价单","当日有效","","盘中","","","美股","USD","","1","108.895","108.90","2025/07/31 14:13:49 (美东)","美股","USD","","","0.99","1","0","","","","","","","","","0.01","","0","2"
"买入","FIG","Figma","100.00","1","100.00","全部成交","1@97.80","2025/07/31 14:00:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1","97.80","97.80","2025/07/31 14:03:27 (美东)","美股","USD","","","0.99","1","0","","","","","","","","","","","0","1.99"
"买入","FIG","Figma","市价","1","0.00","下单失败","0@0.00","2025/07/31 13:59:19 (美东)","市价单","当日有效","","盘中","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","FIG","Figma","市价","1","0.00","下单失败","0@0.00","2025/07/31 13:59:16 (美东)","市价单","当日有效","","盘中","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","FIG","Figma","47.00","25","1,175.00","已撤单","0@0.00","2025/07/31 09:32:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","FIG","Figma","45.00","25","1,125.00","已撤单","0@0.00","2025/07/31 09:32:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","FIG","Figma","40.00","30","1,200.00","已撤单","0@0.00","2025/07/31 09:32:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","FIG","Figma","市价","25","0.00","下单失败","0@0.00","2025/07/31 09:31:48 (美东)","市价单","当日有效","","盘中","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","FIG","Figma","35.00","20","700.00","已撤单","0@0.00","2025/07/31 08:56:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","AAPL","苹果","210.53","5","1,052.65","全部成交","5@210.6405","2025/07/30 10:53:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","210.6405","1,053.20","2025/07/30 10:53:36 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"卖出","TSLA","特斯拉","市价","1","320.07","全部成交","1@320.07","2025/07/25 12:07:44 (美东)","市价单","当日有效","","盘中","","","美股","USD","","1","320.07","320.07","2025/07/25 12:07:45 (美东)","美股","USD","","","0.99","1","0","","","","","","","","","0.01","","0","2"
"卖出","09988","阿里巴巴-W","117.60","100","11,760.00","全部成交","100@117.60","2025/07/25 11:41:03 (香港)","限价单","当日有效","允许","","","","港股","HKD","","100","117.60","11,760.00","2025/07/25 11:41:04 (香港)","港股","HKD","5998","","3.53","15","0.49","12","0.66","0.32","0.02","","","","","","","","32.02"
"卖出","GOOGL","谷歌-A","市价","5","956.02","全部成交","5@191.2034","2025/07/24 10:13:41 (美东)","市价单","当日有效","","盘中","","","美股","USD","","5","191.2034","956.02","2025/07/24 10:13:41 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"买入","TSLA","特斯拉","306.70","1","306.70","全部成交","1@306.63","2025/07/24 09:51:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1","306.63","306.63","2025/07/24 09:51:33 (美东)","美股","USD","","","0.99","1","0","","","","","","","","","","","0","1.99"
"买入","TSLA","特斯拉","306.00","3","918.00","已撤单","0@0.00","2025/07/24 09:51:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","TSLA","特斯拉","305.39","3","916.17","已撤单","0@0.00","2025/07/24 09:50:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","OSCR","Oscar Health","14.00","80","1,120.00","全部成交","80@14.00","2025/07/22 12:17:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","80","14.00","1,120.00","2025/07/22 13:37:01 (美东)","美股","USD","","","0.99","1","0.24","","","","","","","","","0.01","","0","2.24"
"买入","OSCR","Oscar Health","12.60","70","882.00","全部成交","70@12.60","2025/07/22 07:20:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","70","12.60","882.00","2025/07/22 08:50:41 (美东)","美股","USD","","","0.99","1","0.21","","","","","","","","","","","0","2.2"
"买入","OSCR","Oscar Health","13.00","70","910.00","已撤单","0@0.00","2025/07/21 09:23:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","OSCR","Oscar Health","13.05","70","913.50","已撤单","0@0.00","2025/07/18 09:15:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","BRK.B","伯克希尔-B","471.81","5","2,359.05","全部成交","5@471.81","2025/07/17 09:41:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","471.81","2,359.05","2025/07/17 09:41:20 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"买入","OSCR","Oscar Health","14.25","80","1,140.00","全部成交","80@14.25","2025/07/11 10:07:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","80","14.25","1,140.00","2025/07/11 15:38:43 (美东)","美股","USD","","","0.99","1","0.24","","","","","","","","","","","0","2.23"
"买入","OSCR","Oscar Health","17.22","80","1,377.60","全部成交","80@17.2156","2025/07/08 09:38:51 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","80","17.2156","1,377.25","2025/07/08 09:38:51 (美东)","美股","USD","","","0.99","1","0.24","","","","","","","","","","","0","2.23"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","9.72","120","1,166.40","全部成交","120@9.735","2025/07/07 09:48:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","120","9.735","1,168.20","2025/07/07 09:48:37 (美东)","美股","USD","","","0.99","1","0.36","","","","","","","","","0.02","","0.01","2.38"
"卖出","AAPL","苹果","214.12","10","2,141.20","全部成交","10@214.1307","2025/07/03 11:42:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","214.1307","2,141.31","2025/07/03 11:42:07 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","0.01","","0","2.03"
"卖出","AAPL260116C215000","AAPL 260116 215.00C","15.15","1","1,515.00","全部成交","1@15.15","2025/07/01 10:48:31 (美东)","限价单","当日有效","","","","","美股","USD","","1","15.15","1,515.00","2025/07/01 10:48:31 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","0.01","","0","2.51"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.37","40","414.80","全部成交","40@10.3698","2025/07/01 09:44:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","40","10.3698","414.79","2025/07/01 09:44:52 (美东)","美股","USD","","","0.99","1","0.12","","","","","","","","","","","0","2.11"
"买入","GOOGL","谷歌-A","176.55","5","882.75","全部成交","5@176.55","2025/06/30 12:01:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","176.55","882.75","2025/06/30 12:01:20 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"买入","TSLL","2倍做多TSLA ETF-Direxion","12.22","80","977.60","全部成交","80@12.2098","2025/06/27 14:08:23 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","80","12.2098","976.78","2025/06/27 14:08:23 (美东)","美股","USD","","","0.99","1","0.24","","","","","","","","","","","0","2.23"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","12.58","25","314.50","全部成交","25@12.581","2025/06/26 11:48:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","25","12.581","314.53","2025/06/26 11:48:50 (美东)","美股","USD","","","0.99","1","0.08","","","","","","","","","0.01","","0","2.08"
"卖出","CONL","2倍做多COIN ETF-GraniteShares","51.28","30","1,538.40","全部成交","30@51.5589","2025/06/26 10:48:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","51.5589","1,546.77","2025/06/26 10:48:54 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","0.01","","0","2.09"
"买入","AAPL","苹果","201.84","5","1,009.20","全部成交","5@201.84","2025/06/24 11:44:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","201.84","1,009.20","2025/06/24 11:44:26 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖出","CONL","2倍做多COIN ETF-GraniteShares","42.81","20","856.20","全部成交","20@42.81","2025/06/24 11:43:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","14","42.81","599.34","2025/06/24 11:43:50 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.02","","0","2.07"
"","","","","","","","","","","","","","","","","","","6","42.81","256.86","2025/06/24 11:43:33 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"卖出","INOD","Innodata","47.68","13","619.84","全部成交","13@47.68","2025/06/24 11:18:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","13","47.68","619.84","2025/06/24 11:18:06 (美东)","美股","USD","","","0.99","1","0.04","","","","","","","","","0.01","","0","2.04"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","13.67","10","136.70","全部成交","10@13.675","2025/06/24 10:28:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","13.675","136.75","2025/06/24 10:28:47 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","0.01","","0","2.03"
"买入","INOD","Innodata","46.11","20","922.20","全部成交","20@46.11","2025/06/23 12:44:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","46.11","922.20","2025/06/23 12:44:37 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","","","0","2.05"
"卖出","INOD","Innodata","46.11","20","922.20","下单失败","0@0.00","2025/06/23 12:44:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","INOD","Innodata","44.71","19","849.49","全部成交","19@44.71","2025/06/23 09:33:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","19","44.71","849.49","2025/06/23 09:33:31 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.01","","0","2.06"
"买入","CONL","2倍做多COIN ETF-GraniteShares","36.87","50","1,843.50","全部成交","50@36.87","2025/06/20 12:54:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","50","36.87","1,843.50","2025/06/20 12:54:48 (美东)","美股","USD","","","0.99","1","0.15","","","","","","","","","","","0","2.14"
"买入","AAPL","苹果","198.35","5","991.75","全部成交","5@198.28","2025/06/20 11:36:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","198.28","991.40","2025/06/20 11:36:22 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"买入","09988","阿里巴巴-W","110.20","100","11,020.00","全部成交","100@110.20","2025/06/19 13:13:35 (香港)","限价单","当日有效","允许","","","","港股","HKD","","100","110.20","11,020.00","2025/06/19 13:13:35 (香港)","港股","HKD","7368","","3.31","15","2","12","0.62","0.3","0.02","","","","","","","","33.25"
"买入","AAPL260116C215000","AAPL 260116 215.00C","11.35","1","1,135.00","全部成交","1@11.35","2025/06/18 10:10:08 (美东)","限价单","当日有效","","","","","美股","USD","","1","11.35","1,135.00","2025/06/18 10:10:09 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","0","2.5"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","11.86","15","177.90","全部成交","15@11.865","2025/06/13 10:23:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","11.865","177.98","2025/06/13 10:23:27 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
"卖出","AAPL260116C235000","AAPL 260116 235.00C","5.80","2","1,160.00","全部成交","2@5.80","2025/06/13 10:22:47 (美东)","限价单","当日有效","","","","","美股","USD","","2","5.80","1,160.00","2025/06/13 10:22:48 (美东)","美股","USD","","","1.99","0.6","","","","","","0.03","0.04","0.36","","0.01","","0.01","3.04"
"买入","AAPL260116C235000","AAPL 260116 235.00C","6.40","1","640.00","下单失败","0@0.00","2025/06/13 09:36:40 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","AAPL260116C235000","AAPL 260116 235.00C","6.40","2","1,280.00","下单失败","0@0.00","2025/06/13 09:36:23 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","INOD","Innodata","43.00","19","817.00","全部成交","19@43.00","2025/06/10 13:07:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","19","43.00","817.00","2025/06/10 13:37:10 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","","","0","2.05"
"卖出","INOD","Innodata","47.72","19","906.68","全部成交","19@47.72421","2025/06/10 11:14:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","3","47.72","143.16","2025/06/10 11:14:20 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.02","","0","2.07"
"","","","","","","","","","","","","","","","","","","16","47.725","763.60","2025/06/10 11:14:20 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"买入","TSLL","2倍做多TSLA ETF-Direxion","11.78","50","589.00","全部成交","50@11.7599","2025/06/10 09:30:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","50","11.7599","588.00","2025/06/10 09:30:34 (美东)","美股","USD","","","0.99","1","0.15","","","","","","","","","","","0","2.14"
"买入","AAPL260116C235000","AAPL 260116 235.00C","7.35","1","735.00","全部成交","1@7.35","2025/06/09 13:35:35 (美东)","限价单","当日有效","","","","","美股","USD","","1","7.35","735.00","2025/06/09 13:39:06 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","0","2.5"
"卖出","SBUX260116C100000","SBUX 260116 100.00C","5.75","1","575.00","全部成交","1@5.75","2025/06/09 09:35:03 (美东)","限价单","当日有效","","","","","美股","USD","","1","5.75","575.00","2025/06/09 09:35:06 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","0.01","","0","2.51"
"卖出","INOD","Innodata","46.33","12","555.96","全部成交","12@46.33","2025/06/05 13:02:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","12","46.33","555.96","2025/06/05 13:02:28 (美东)","美股","USD","","","0.99","1","0.04","","","","","","","","","0.01","","0","2.04"
"买入","GOOGL","谷歌-A","167.17","5","835.85","全部成交","5@167.1689","2025/06/04 13:29:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","167.1689","835.84","2025/06/04 13:29:45 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","13.74","100","1,374.00","全部成交","100@13.74","2025/06/04 12:33:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","13.74","1,374.00","2025/06/04 12:33:06 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","0.02","","0","2.31"
"买入","INOD","Innodata","43.00","15","645.00","已撤单","0@0.00","2025/06/04 10:28:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","TSLL","2倍做多TSLA ETF-Direxion","13.76","100","1,376.00","全部成交","100@13.745","2025/06/04 10:27:58 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","13.745","1,374.50","2025/06/04 10:27:59 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","","","0","2.29"
"卖出","TSM","台积电","200.74","10","2,007.40","全部成交","10@200.74","2025/06/04 10:09:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","200.74","2,007.40","2025/06/04 10:09:00 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","0.01","","0","2.03"
"买入","INOD","Innodata","43.00","25","1,075.00","全部成交","25@43.00","2025/06/03 09:39:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","25","43.00","1,075.00","2025/06/03 14:05:46 (美东)","美股","USD","","","0.99","1","0.08","","","","","","","","","","","0","2.07"
"买入","INOD","Innodata","市价","25","961.46","全部成交","25@38.4583","2025/05/29 11:50:01 (美东)","市价单","当日有效","","盘中","","","美股","USD","","25","38.4583","961.46","2025/05/29 11:50:01 (美东)","美股","USD","","","0.99","1","0.08","","","","","","","","","","","0","2.07"
"买入","INOD","Innodata","33.10","40","1,324.00","已撤单","0@0.00","2025/05/29 08:43:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","INOD","Innodata","36.10","25","902.50","已撤单","0@0.00","2025/05/29 08:43:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","INOD","Innodata","37.50","25","937.50","已撤单","0@0.00","2025/05/29 08:43:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","GOOGL","谷歌-A","172.73","10","1,727.30","全部成交","10@172.7098","2025/05/27 15:11:59 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","172.7098","1,727.10","2025/05/27 15:11:59 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"买入","AMZN","亚马逊","205.32","20","4,106.40","全部成交","20@205.32","2025/05/27 15:11:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","205.32","4,106.40","2025/05/27 15:11:32 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","","","0","2.05"
"卖出","AAPL260116C235000","AAPL 260116 235.00C","7.10","1","710.00","已撤单","0@0.00","2025/05/23 14:36:07 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","AAPL260116C235000","AAPL 260116 235.00C","7.05","1","705.00","全部成交","1@7.03","2025/05/23 14:30:54 (美东)","限价单","当日有效","","","","","美股","USD","","1","7.03","703.00","2025/05/23 14:30:54 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"买入","AAPL","苹果","市价","10","1,956.55","全部成交","10@195.655","2025/05/23 14:24:07 (美东)","市价单","当日有效","","盘中","","","美股","USD","","10","195.655","1,956.55","2025/05/23 14:24:08 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","","2.02"
"买入","AAPL","苹果","195.47","10","1,954.70","已撤单","0@0.00","2025/05/23 14:23:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","AAPL","苹果","201.38","20","4,027.60","全部成交","20@201.38","2025/05/22 10:04:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","201.38","4,027.60","2025/05/22 10:04:39 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.01","","","2.06"
"卖出","AAPL260116C235000","AAPL 260116 235.00C","8.40","2","1,680.00","全部成交","2@8.40","2025/05/22 10:01:56 (美东)","限价单","当日有效","","","","","美股","USD","","1","8.40","840.00","2025/05/22 10:02:00 (美东)","美股","USD","","","1.99","0.6","","","","","","0.02","0.04","0.36","","0.02","","","3.03"
"","","","","","","","","","","","","","","","","","","1","8.40","840.00","2025/05/22 10:02:00 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"买入","TSM","台积电","180.00","25","4,500.00","已撤单","0@0.00","2025/05/19 09:42:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLA","特斯拉","335.77","13","4,365.01","全部成交","13@335.77","2025/05/19 09:39:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","13","335.77","4,365.01","2025/05/19 09:39:16 (美东)","美股","USD","","","0.99","1","0.04","","","","","","","","","0.01","","","2.04"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","14.24","100","1,424.00","全部成交","100@14.265","2025/05/19 09:38:59 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","14.265","1,426.50","2025/05/19 09:38:59 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","0.02","","","2.31"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","14.13","120","1,695.60","全部成交","120@14.1303","2025/05/19 09:13:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","120","14.1303","1,695.64","2025/05/19 09:13:41 (美东)","美股","USD","","","0.99","1","0.36","","","","","","","","","0.02","","","2.37"
"买入","SBUX260116C100000","SBUX 260116 100.00C","4.05","1","405.00","全部成交","1@4.05","2025/05/14 09:44:54 (美东)","限价单","当日有效","","","","","美股","USD","","1","4.05","405.00","2025/05/14 09:44:56 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"卖出","SVIX250620C21000","SVIX 250620 21.00C","市价","5","0.00","下单失败","0@0.00","2025/05/13 13:20:19 (美东)","市价单","当日有效","","盘中","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","TSLA","特斯拉","325.56","13","4,232.28","全部成交","13@325.56","2025/05/13 13:02:21 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","13","325.56","4,232.28","2025/05/13 13:02:27 (美东)","美股","USD","","","0.99","1","0.04","","","","","","","","","","","","2.03"
