Side,Symbol,Name,Order Price,Order Qty,Order Amount,Status,Filled@Avg Price,Order Time,Order Type,Time-in-Force,Allow Pre-Market,Session,Trigger price,Position Opening,Markets,Currency,Order Source,Fill Qty,Fill Price,Fill Amount,Fill Time,Markets.1,Currency.1,Counterparty,Remarks,Commission,Platform Fees,Settlement Fees,Options Regulatory Fees,OCC Fees,Option Settlement Fees,SEC Fees,Trading Activity Fees,Stamp Duty,Trading Fees,SFC Levy,FRC Levy,Trading Tariff,Consolidated Audit Trail Fees,Total
Buy,BRK.B,Berkshire Hathaway-B,466.13,5,2330.65,Filled,5@517.57,"Nov 3, 2025 11:08:18 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,485.8,2429.0,"Nov 3, 2025 11:08:21 ET",US,USD,,,0.89,0.91,0.02,,,,,,,,,,,0.0,1.82
Buy,FIG,Figma Inc,53.01,36,1908.36,Filled,38@44.71,"Nov 3, 2025 11:01:10 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,39,49.58,1933.62,"Nov 3, 2025 11:01:11 ET",US,USD,,,0.92,1.03,0.13,,,,,,,,,,,0.0,2.08
Buy,HIMS,Hims & Hers Health,46.26,19,878.94,Filled,21@48.77,"Nov 3, 2025 10:58:28 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,18,44.93,808.74,"Nov 3, 2025 10:58:29 ET",US,USD,,,1.09,0.9,0.06,,,,,,,,,,,0.0,2.05
Buy,FIG,Figma Inc,48.59,5,242.95,Filled,5@46.35,"Nov 3, 2025 10:41:21 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,44.11,220.55,"Nov 3, 2025 10:41:30 ET",US,USD,,,1.05,0.98,0.02,,,,,,,,,,,0.0,2.05
Sell,UNH,UnitedHealth,340.49,17,5788.33,Filled,14@334.08,"Nov 3, 2025 10:27:56 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,9,318.39,2865.51,"Nov 3, 2025 10:27:57 ET",US,USD,,,0.96,0.95,0.05,,,,,0.03,,,,,,0.0,1.99
,,,,,,,,,,,,,,,,,,2,317.45,634.9,"Nov 3, 2025 10:27:57 ET",US,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,5,339.6,1698.0,"Nov 3, 2025 10:27:57 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,AMZN260618P195000,AMZN 260618 195.00P,5.56,1,5.56,Filled,1@5.49,"Nov 3, 2025 09:38:46 ET",Limit,Day,,,,,US,USD,,1,5.57,5.57,"Nov 3, 2025 09:38:47 ET",US,USD,,,1.95,0.32,,0.01,0.02,0.19,,,,,,,,0.0,2.49
Buy,AMZN260618P195000,AMZN 260618 195.00P,5.96,1,5.96,Filled,1@6.06,"Oct 31, 2025 09:44:35 ET",Limit,Day,,,,,US,USD,,1,5.46,5.46,"Oct 31, 2025 09:44:35 ET",US,USD,,,2.02,0.31,,0.02,0.02,0.19,,,,,,,,0.0,2.56
Sell,AMZN,Amazon,214.86,5,1074.3,Filled,5@221.52,"Oct 30, 2025 10:22:53 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,236.07,1180.35,"Oct 30, 2025 10:22:53 ET",US,USD,,,0.99,1.07,0.02,,,,,0.01,,,,,,0.0,2.09
Buy,HIMS,Hims & Hers Health,43.11,19,819.09,Filled,22@46.57,"Oct 29, 2025 10:23:00 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,20,45.55,911.0,"Oct 29, 2025 10:23:01 ET",US,USD,,,1.04,0.9,0.06,,,,,,,,,,,0.0,2.0
Buy,HIMS,Hims & Hers Health,47.36,21,994.56,Filled,18@47.17,"Oct 24, 2025 15:36:37 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,20,53.49,1069.8,"Oct 24, 2025 15:36:37 ET",US,USD,,,0.9,1.07,0.06,,,,,,,,,,,0.0,2.03
Buy,01810,XIAOMI-W,41.77,375,15663.75,Cancelled,0@0.0,"Oct 23, 2025 10:50:26 HKT",Limit,Day,Allow,,,,HK,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,43.23,194,8386.62,Filled,185@42.74,"Oct 22, 2025 11:38:00 HKT",Limit,Day,Allow,,,,HK,HKD,,181,48.76,8825.56,"Oct 22, 2025 11:38:20 HKT",HK,HKD,,,2.75,15.45,0.36,,,,,,10.74,0.57,0.23,0.01,,,30.11
Short Sell,AMZN260618P195000,AMZN 260618 195.00P,12.41,1,12.41,Filled,1@12.07,"Oct 21, 2025 09:32:44 ET",Limit,Day,,,,,US,USD,,1,11.51,11.51,"Oct 21, 2025 09:32:44 ET",US,USD,,,1.9,0.28,,0.02,0.02,0.16,,0.01,,,,,,0.0,2.39
Buy,01810,XIAOMI-W,51.23,215,11014.45,Filled,218@49.06,"Oct 21, 2025 11:16:41 HKT",Limit,Day,Allow,,,,HK,HKD,,184,47.21,8686.64,"Oct 21, 2025 11:30:26 HKT",HK,HKD,,,3.2,14.64,0.38,,,,,,9.36,0.58,0.26,0.01,,,28.43
Sell,HIMS,Hims & Hers Health,Market Price,19,,Filled,19@56.36,"Oct 20, 2025 10:04:57 ET",Market,Day,,Regular Trading Hours,,,US,USD,,20,49.62,992.4,"Oct 20, 2025 10:04:58 ET",US,USD,,,1.07,1.1,0.06,,,,,0.01,,,,,,0.0,2.24
Sell,01810,XIAOMI-W,47.24,185,8739.4,Cancelled,0@0.0,"Oct 20, 2025 11:37:18 HKT",Limit,Day,Allow,,,,HK,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,44.34,389,17248.26,Cancelled,0@0.0,"Oct 20, 2025 03:35:10 HKT",Limit,"Good Till Nov 20, 2025 HKT",Allow,,,,HK,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,42.92,216,9270.72,Cancelled,0@0.0,"Oct 20, 2025 03:34:58 HKT",Limit,"Good Till Nov 20, 2025 HKT",Allow,,,,HK,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,48.47,210,10178.7,Cancelled,0@0.0,"Oct 20, 2025 03:34:36 HKT",Limit,"Good Till Nov 20, 2025 HKT",Allow,,,,HK,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,45.3,216,9784.8,Filled,208@49.6,"Oct 20, 2025 03:34:08 HKT",Limit,"Good Till Nov 20, 2025 HKT",Allow,,,,HK,HKD,,193,44.07,8505.51,"Oct 27, 2025 09:30:10 HKT",HK,HKD,,,2.91,13.8,0.34,,,,,,9.34,0.48,0.23,0.01,,,27.11
Buy,IBIT,iShares Bitcoin Trust,57.84,10,578.4,Failed,0@0.0,"Oct 17, 2025 14:10:40 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS,Hims & Hers Health,50.63,18,911.34,Filled,17@50.36,"Oct 17, 2025 10:54:53 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,16,58.32,933.12,"Oct 17, 2025 10:54:54 ET",US,USD,,,1.08,0.96,0.05,,,,,,,,,,,0.0,2.09
Sell,BMNR,Bitmine Immersion Technologies,49.54,40,1981.6,Filled,41@45.79,"Oct 17, 2025 10:42:24 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,38,48.03,1825.14,"Oct 17, 2025 10:42:24 ET",US,USD,,,0.95,1.07,0.11,,,,,0.01,,,,,,0.0,2.14
Sell,09988,BABA-W,145.84,200,29168.0,Filled,192@158.87,"Oct 17, 2025 15:24:02 HKT",Limit,Day,Allow,,,,HK,HKD,,196,153.55,30095.8,"Oct 17, 2025 15:24:05 HKT",HK,HKD,,,9.39,15.09,1.31,,,,,,31.05,1.85,0.86,0.05,,,59.6
Buy,01810,XIAOMI-W,46.45,434,20159.3,Cancelled,0@0.0,"Oct 17, 2025 13:46:38 HKT",Limit,Day,Allow,,,,HK,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,01810,XIAOMI-W,50.33,201,10116.33,Filled,185@48.75,"Oct 17, 2025 10:45:34 HKT",Limit,Day,Allow,,,,HK,HKD,,183,51.17,9364.11,"Oct 17, 2025 10:45:34 HKT",HK,HKD,,,2.82,14.06,0.36,,,,,,9.55,0.49,0.25,0.01,,,27.54
Sell,HIMS,Hims & Hers Health,Market Price,17,,Filled,17@65.29,"Oct 16, 2025 12:09:22 ET",Market,Day,,Regular Trading Hours,,,US,USD,,17,61.8,1050.6,"Oct 16, 2025 12:09:22 ET",US,USD,,,1.08,1.0,0.05,,,,,0.01,,,,,,0.0,2.14
Sell,HIMS,Hims & Hers Health,58.74,17,998.58,Cancelled,0@0.0,"Oct 16, 2025 12:09:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,HIMS,Hims & Hers Health,Trigger MKT price,15,,Cancelled,0@0.0,"Oct 16, 2025 11:30:22 ET",Market-If-Touched,Day,,Regular Trading Hours,70.0,Allow,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,BMNR,Bitmine Immersion Technologies,51.23,10,512.3,Filled,10@59.62,"Oct 14, 2025 12:27:26 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,54.72,601.92,"Oct 14, 2025 12:27:27 ET",US,USD,,,1.0,0.99,0.03,,,,,,,,,,,0.0,2.02
Short Sell,AMZN260618P195000,AMZN 260618 195.00P,13.85,1,13.85,Filled,1@11.42,"Oct 14, 2025 11:56:24 ET",Limit,Day,,,,,US,USD,,1,12.38,12.38,"Oct 14, 2025 11:56:25 ET",US,USD,,,1.89,0.33,,0.02,0.02,0.17,,0.01,,,,,,0.0,2.44
Sell,UNH,UnitedHealth,357.89,4,1431.56,Filled,4@387.29,"Oct 14, 2025 10:01:47 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,4,334.89,1339.56,"Oct 14, 2025 10:01:55 ET",US,USD,,,0.97,0.9,0.01,,,,,0.01,,,,,,0.0,1.89
Sell,HIMS,Hims & Hers Health,47.64,19,905.16,Filled,22@48.98,"Oct 14, 2025 09:34:27 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,19,50.45,958.55,"Oct 14, 2025 09:34:28 ET",US,USD,,,0.91,0.95,0.06,,,,,0.01,,,,,,0.0,1.93
Sell,AMZN,Amazon,194.33,6,1165.98,Filled,7@232.45,"Oct 14, 2025 09:31:40 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,7,224.74,1573.18,"Oct 14, 2025 09:31:41 ET",US,USD,,,0.91,1.01,0.02,,,,,0.01,,,,,,0.0,1.95
Sell,AMZN260618C250000,AMZN 260618 250.00C,12.35,1,12.35,Filled,1@14.06,"Oct 14, 2025 09:31:25 ET",Limit,Day,,,,,US,USD,,1,13.74,13.74,"Oct 14, 2025 09:31:25 ET",US,USD,,,1.91,0.29,,0.02,0.02,0.19,,0.01,,,,,,0.0,2.44
Buy,09988,BABA-W,159.98,192,30716.16,Filled,190@171.05,"Oct 14, 2025 15:35:17 HKT",Limit,Day,Allow,,,,HK,HKD,,192,164.11,31509.12,"Oct 14, 2025 15:35:17 HKT",HK,HKD,,,10.2,14.68,1.39,,,,,,34.5,1.86,0.8,0.05,,,63.48
Sell,09988,BABA-W,163.63,204,33380.52,Filled,187@166.51,"Oct 14, 2025 14:21:47 HKT",Limit,Day,Allow,,,,HK,HKD,,200,145.43,29086.0,"Oct 14, 2025 14:21:48 HKT",HK,HKD,,,9.84,13.97,1.39,,,,,,31.53,1.67,0.79,0.05,,,59.24
Buy,BMNR,Bitmine Immersion Technologies,54.06,30,1621.8,Filled,28@57.09,"Oct 13, 2025 10:06:16 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,27,55.33,1493.91,"Oct 13, 2025 10:06:16 ET",US,USD,,,1.08,0.97,0.09,,,,,,,,,,,0.0,2.14
Sell,BRK.B,Berkshire Hathaway-B,Market Price,4,,Filled,4@526.64,"Oct 13, 2025 09:35:32 ET",Market,Day,,Regular Trading Hours,,,US,USD,,4,530.65,2122.6,"Oct 13, 2025 09:35:32 ET",US,USD,,,1.06,0.97,0.01,,,,,0.01,,,,,,0.0,2.05
Buy,BIDU251219C150000,BIDU 251219 150.00C,4.47,2,8.94,Filled,2@4.67,"Oct 13, 2025 09:32:19 ET",Limit,Day,,,,,US,USD,,2,4.84,9.68,"Oct 13, 2025 09:33:33 ET",US,USD,,,2.11,0.62,,0.03,0.04,0.36,,,,,,,,0.0,3.16
Sell,18099,JPXIAMI@EC2512B.C,0.01,"80,000",,Filled,"80,000@0.014","Oct 13, 2025 11:45:23 HKT",Limit,Day,Not Allowed,,,,HK,HKD,,"80,000",0.01,,"Oct 13, 2025 11:45:23 HKT",HK,HKD,,,3.04,14.21,0.05,,,,,,0.0,0.06,0.03,0.0,,,17.39
Buy,09988,BABA-W,176.32,91,16045.12,Filled,95@146.53,"Oct 13, 2025 09:57:24 HKT",Limit,Day,Allow,,,,HK,HKD,,100,148.26,14826.0,"Oct 13, 2025 09:57:25 HKT",HK,HKD,,,5.0,16.43,0.73,,,,,,17.28,0.94,0.43,0.02,,,40.83
Buy,AMZN,Amazon,222.24,8,1777.92,Filled,7@203.46,"Oct 10, 2025 11:47:09 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,6,241.66,1449.96,"Oct 10, 2025 11:47:10 ET",US,USD,,,1.08,1.0,0.02,,,,,,,,,,,0.0,2.1
Buy,BIDU251219C150000,BIDU 251219 150.00C,4.6,1,4.6,Filled,1@4.1,"Oct 10, 2025 11:35:26 ET",Limit,Day,,,,,US,USD,,1,4.29,4.29,"Oct 10, 2025 11:58:38 ET",US,USD,,,2.02,0.32,,0.02,0.02,0.16,,,,,,,,0.0,2.54
Sell,TSLA,Tesla,Market Price,9,,Filled,8@457.15,"Oct 10, 2025 11:34:03 ET",Market,Day,,Regular Trading Hours,,,US,USD,,8,396.15,3169.2,"Oct 10, 2025 11:34:04 ET",US,USD,,,1.04,1.03,0.02,,,,,0.01,,,,,,0.0,2.1
Buy,BIDU251219C150000,BIDU 251219 150.00C,4.29,1,4.29,Cancelled,0@0.0,"Oct 10, 2025 11:26:18 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,AMZN,Amazon,205.54,5,1027.7,Filled,5@227.48,"Oct 10, 2025 09:46:55 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,212.24,1061.2,"Oct 10, 2025 09:46:55 ET",US,USD,,,1.04,1.08,0.02,,,,,,,,,,,0.0,2.14
Short Sell,BIDU251219C150000,BIDU 251219 150.00C,5.95,3,17.85,Filled,3@5.75,"Oct 10, 2025 09:32:22 ET",Limit,Day,,,,,US,USD,,3,5.76,17.28,"Oct 10, 2025 09:32:28 ET",US,USD,,,2.17,0.97,,0.05,0.06,0.5,,0.01,,,,,,0.01,3.77
Short Sell,BIDU251219C160000,BIDU 251219 160.00C,4.2,3,12.6,Cancelled,0@0.0,"Oct 10, 2025 09:31:51 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,AMZN,Amazon,225.7,5,1128.5,Filled,5@223.12,"Oct 9, 2025 12:20:39 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,226.38,1131.9,"Oct 9, 2025 12:20:48 ET",US,USD,,,0.98,1.06,0.02,,,,,,,,,,,0.0,2.06
Sell,FIG,Figma Inc,Market Price,10,,Filled,11@69.93,"Oct 9, 2025 09:52:12 ET",Market,Day,,Regular Trading Hours,,,US,USD,,9,62.36,561.24,"Oct 9, 2025 09:52:12 ET",US,USD,,,0.98,0.91,0.03,,,,,0.01,,,,,,0.0,1.93
Sell,FIG,Figma Inc,64.86,19,1232.34,Failed,0@0.0,"Oct 9, 2025 09:51:50 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,OSCR,Oscar Health,Market Price,16,,Filled,16@20.51,"Oct 8, 2025 09:47:33 ET",Market,Day,,Regular Trading Hours,,,US,USD,,14,24.15,338.1,"Oct 8, 2025 09:47:34 ET",US,USD,,,1.01,1.01,0.05,,,,,0.01,,,,,,0.0,2.08
Buy,TSLA,Tesla,442.95,9,3986.55,Filled,7@460.4,"Oct 8, 2025 09:44:47 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,9,466.19,4195.71,"Oct 8, 2025 09:44:47 ET",US,USD,,,0.9,0.96,0.02,,,,,,,,,,,0.0,1.88
Buy,HIMS,Hims & Hers Health,52.45,46,2412.7,Filled,48@54.81,"Oct 7, 2025 12:27:47 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,48,56.43,2708.64,"Oct 7, 2025 12:27:48 ET",US,USD,,,0.91,0.93,0.14,,,,,,,,,,,0.0,1.98
Buy,HIMS,Hims & Hers Health,Market Price,26,,Filled,27@51.98,"Oct 7, 2025 12:27:32 ET",Market,Day,,Regular Trading Hours,,,US,USD,,26,52.47,1364.22,"Oct 7, 2025 12:27:32 ET",US,USD,,,0.9,1.08,0.08,,,,,,,,,,,0.0,2.06
Buy,HIMS,Hims & Hers Health,54.98,26,1429.48,Cancelled,0@0.0,"Oct 7, 2025 12:27:25 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS,Hims & Hers Health,55.21,23,1269.83,Cancelled,0@0.0,"Oct 7, 2025 12:27:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,OSCR,Oscar Health,24.91,14,348.74,Filled,14@22.28,"Oct 7, 2025 11:42:30 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,16,24.37,389.92,"Oct 7, 2025 11:42:30 ET",US,USD,,,1.02,1.03,0.05,,,,,0.01,,,,,,0.0,2.11
Buy,AMZN260618C250000,AMZN 260618 250.00C,17.2,1,17.2,Filled,1@16.15,"Oct 7, 2025 11:13:54 ET",Limit,Day,,,,,US,USD,,1,15.99,15.99,"Oct 7, 2025 11:13:54 ET",US,USD,,,2.19,0.28,,0.02,0.02,0.17,,,,,,,,0.0,2.68
Sell,BMNR,Bitmine Immersion Technologies,56.71,29,1644.59,Filled,32@54.81,"Oct 7, 2025 11:10:12 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,29,62.25,1805.25,"Oct 7, 2025 11:10:12 ET",US,USD,,,1.03,0.98,0.09,,,,,0.01,,,,,,0.0,2.11
Sell,BMNR,Bitmine Immersion Technologies,60.51,20,1210.2,Filled,20@61.91,"Oct 7, 2025 11:05:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,21,60.64,1273.44,"Oct 7, 2025 11:05:30 ET",US,USD,,,0.94,1.09,0.06,,,,,0.01,,,,,,0.0,2.1
Buy,FIG,Figma Inc,56.98,10,569.8,Filled,10@55.18,"Oct 6, 2025 13:52:50 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,58.13,639.43,"Oct 6, 2025 13:52:53 ET",US,USD,,,0.95,1.02,0.03,,,,,,,,,,,0.0,2.0
Sell,FIG,Figma Inc,Market Price,56,,Filled,60@55.72,"Oct 6, 2025 13:48:28 ET",Market,Day,,Regular Trading Hours,,,US,USD,,60,63.71,3822.6,"Oct 6, 2025 13:48:28 ET",US,USD,,,1.08,1.03,0.16,,,,,0.01,,,,,,0.0,2.28
Buy,AMZN,Amazon,235.23,5,1176.15,Filled,5@202.3,"Oct 6, 2025 09:49:44 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,238.06,1190.3,"Oct 6, 2025 09:49:44 ET",US,USD,,,0.99,0.95,0.02,,,,,,,,,,,0.0,1.96
Sell,TSLL,Direxion Daily TSLA Bull 2X Shares,20.17,33,665.61,Filled,28@17.68,"Oct 3, 2025 13:28:28 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,29,17.82,516.78,"Oct 3, 2025 13:28:28 ET",US,USD,,,0.89,0.95,0.09,,,,,0.01,,,,,,0.0,1.94
Buy,IBIT,iShares Bitcoin Trust,67.27,1,67.27,Failed,0@0.0,"Oct 3, 2025 12:16:25 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,TSLL,Direxion Daily TSLA Bull 2X Shares,20.25,16,324.0,Filled,14@20.48,"Oct 3, 2025 10:11:12 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,16,19.91,318.56,"Oct 3, 2025 10:11:12 ET",US,USD,,,1.06,0.93,0.05,,,,,0.01,,,,,,0.0,2.05
Sell,TSLL,Direxion Daily TSLA Bull 2X Shares,20.22,15,303.3,Cancelled,0@0.0,"Oct 3, 2025 10:10:52 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,TSLL,Direxion Daily TSLA Bull 2X Shares,18.41,15,276.15,Cancelled,0@0.0,"Oct 3, 2025 10:10:47 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,TSLL,Direxion Daily TSLA Bull 2X Shares,22.07,15,331.05,Filled,16@21.95,"Oct 2, 2025 13:22:16 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,14,20.49,286.86,"Oct 2, 2025 13:22:17 ET",US,USD,,,0.94,1.09,0.05,,,,,0.01,,,,,,0.0,2.09
Buy,18099,JPXIAMI@EC2512B.C,0.05,"80,000",,Filled,"80,000@0.049","Oct 2, 2025 09:38:00 HKT",Limit,Day,Not Allowed,,,,HK,HKD,,"80,000",0.05,,"Oct 2, 2025 09:38:08 HKT",HK,HKD,,,2.76,16.23,0.16,,,,,,0.0,0.2,0.1,0.01,,,19.46
Buy,HIMS,Hims & Hers Health,59.12,26,1537.12,Filled,24@53.55,"Oct 1, 2025 11:50:56 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,24,56.09,1346.16,"Oct 1, 2025 15:20:56 ET",US,USD,,,1.02,0.97,0.08,,,,,,,,,,,0.0,2.07
Buy,BMNR,Bitmine Immersion Technologies,50.97,9,458.73,Filled,9@46.09,"Sep 26, 2025 13:33:16 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,54.49,599.39,"Sep 26, 2025 13:33:16 ET",US,USD,,,1.05,1.01,0.03,,,,,,,,,,,0.0,2.09
Buy,BMNR,Bitmine Immersion Technologies,45.64,18,821.52,Filled,19@54.14,"Sep 26, 2025 13:32:35 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,4,54.38,217.52,"Sep 26, 2025 13:32:35 ET",US,USD,,,0.91,0.94,0.06,,,,,,,,,,,0.0,1.91
,,,,,,,,,,,,,,,,,,14,48.43,678.02,"Sep 26, 2025 13:32:35 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,01810,XIAOMI-W,57.17,209,11948.53,Filled,186@57.6,"Sep 25, 2025 15:03:31 HKT",Limit,Day,Allow,,,,HK,HKD,,208,62.69,13039.52,"Sep 25, 2025 15:03:31 HKT",HK,HKD,,,3.87,13.92,0.46,,,,,,13.13,0.67,0.33,0.02,,,32.4
Buy,BMNR,Bitmine Immersion Technologies,48.58,1,48.58,Filled,1@51.52,"Sep 23, 2025 13:40:26 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,1,52.82,52.82,"Sep 23, 2025 13:40:26 ET",US,USD,,,0.99,1.01,0.0,,,,,,,,,,,0.0,2.0
Buy,BMNR,Bitmine Immersion Technologies,62.33,10,623.3,Failed,0@0.0,"Sep 23, 2025 09:40:22 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,BMNR,Bitmine Immersion Technologies,58.09,15,871.35,Cancelled,0@0.0,"Sep 22, 2025 13:32:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,BMNR,Bitmine Immersion Technologies,58.8,14,823.2,Filled,15@56.25,"Sep 22, 2025 13:20:20 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,15,59.93,898.95,"Sep 22, 2025 13:28:43 ET",US,USD,,,0.96,1.06,0.05,,,,,,,,,,,0.0,2.07
Buy,BMNR,Bitmine Immersion Technologies,52.85,5,264.25,Filled,5@49.71,"Sep 22, 2025 12:41:43 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,55.01,275.05,"Sep 22, 2025 12:41:44 ET",US,USD,,,1.07,1.07,0.02,,,,,,,,,,,0.0,2.16
Buy,FIG,Figma Inc,52.16,5,260.8,Filled,5@54.84,"Sep 22, 2025 11:23:44 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,60.89,304.45,"Sep 22, 2025 11:23:44 ET",US,USD,,,0.94,0.96,0.02,,,,,,,,,,,0.0,1.92
Sell,BMNR,Bitmine Immersion Technologies,60.14,66,3969.24,Filled,55@60.14,"Sep 22, 2025 11:18:29 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,64,53.83,3445.12,"Sep 22, 2025 11:18:29 ET",US,USD,,,1.08,1.04,0.18,,,,,0.01,,,,,,0.0,2.31
Short Sell,BIDU260116C175000,BIDU 260116 175.00C,6.7,1,6.7,Cancelled,0@0.0,"Sep 22, 2025 10:41:23 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,BMNR,Bitmine Immersion Technologies,54.08,11,594.88,Filled,10@57.76,"Sep 22, 2025 10:00:39 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,56.59,565.9,"Sep 22, 2025 10:00:39 ET",US,USD,,,1.03,1.0,0.03,,,,,,,,,,,0.0,2.06
Sell,HIMS,Hims & Hers Health,57.39,20,1147.8,Filled,20@59.4,"Sep 22, 2025 09:59:48 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,18,58.55,1053.9,"Sep 22, 2025 09:59:48 ET",US,USD,,,1.07,0.93,0.07,,,,,0.01,,,,,,0.0,2.08
Buy,BMNR,Bitmine Immersion Technologies,53.09,46,2442.14,Filled,46@58.61,"Sep 22, 2025 09:52:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,51,63.9,3258.9,"Sep 22, 2025 10:05:26 ET",US,USD,,,0.99,1.1,0.16,,,,,,,,,,,0.0,2.25
Buy,BIDU260116C175000,BIDU 260116 175.00C,7.58,1,7.58,Filled,1@7.76,"Sep 22, 2025 09:38:00 ET",Limit,Day,,,,,US,USD,,1,7.19,7.19,"Sep 22, 2025 09:38:10 ET",US,USD,,,1.87,0.33,,0.02,0.02,0.16,,,,,,,,0.0,2.4
Buy,MSTR260116P300000,MSTR 260116 300.00P,29.7,1,29.7,Filled,1@27.89,"Sep 22, 2025 09:36:21 ET",Limit,Day,,,,,US,USD,,1,26.22,26.22,"Sep 22, 2025 09:36:28 ET",US,USD,,,2.08,0.28,,0.02,0.02,0.19,,,,,,,,0.0,2.59
