方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,订单类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场.1,币种.1,对手经纪,备注,佣金,平台使用费,交收费,印花税,交易费,证监会征费,财汇局征费,期权监管费,期权清算费,期权交收费,证监会规费,交易活动费,交易系统使用费,综合审计跟踪监管费,合计费用
买入,FIG,FIGMA INC,91.69,11,1008.59,全部成交,10@87.18,2025/08/05 10:16:11 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,91.95,919.5,2025/08/05 10:16:12 (美东),美股,USD,,,0.9,1.09,0.03,,,,,,,,,,,0.0,2.02
买入,FIG,FIGMA INC,89.14,1,89.14,全部成交,1@93.73,2025/08/05 09:51:08 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,1,96.43,96.43,2025/08/05 09:51:08 (美东),美股,USD,,,1.05,0.91,0.0,,,,,,,,,,,0.0,1.96
买入,BRK.B,伯克希尔-B,445.43,10,4454.3,已撤单,0@0.0,2025/08/05 08:40:09 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,BRK.B,伯克希尔-B,433.5,5,2167.5,全部成交,5@483.63,2025/08/05 08:40:03 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,467.54,2337.7,2025/08/05 08:40:03 (美东),美股,USD,,,0.98,1.03,0.02,,,,,,,,,0.01,,0.0,2.04
买入,HIMS,Hims & Hers Health,45.09,110,4959.9,已撤单,0@0.0,2025/08/05 04:59:59 (美东),限价单,2025/09/05 (美东) 收盘前有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,BRK.B,伯克希尔-B,453.84,5,2269.2,全部成交,5@450.79,2025/08/05 04:18:37 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,460.79,2303.95,2025/08/05 04:18:53 (美东),美股,USD,,,1.01,1.04,0.02,,,,,,,,,,,0.0,2.07
卖出,FIG,FIGMA INC,市价,1,,全部成交,1@110.13,2025/08/04 09:35:11 (美东),市价单,当日有效,,盘中,,,美股,USD,,1,110.98,110.98,2025/08/04 09:35:12 (美东),美股,USD,,,0.98,1.08,0.0,,,,,,,,,0.01,,0.0,2.07
卖出,FIG,FIGMA INC,106.4,1,106.4,已撤单,0@0.0,2025/08/04 09:34:57 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,BRK.B,伯克希尔-B,市价,5,,全部成交,5@456.57,2025/08/04 09:34:48 (美东),市价单,当日有效,,盘中,,,美股,USD,,5,438.54,2192.7,2025/08/04 09:34:49 (美东),美股,USD,,,0.97,1.0,0.02,,,,,,,,,0.01,,0.0,2.0
卖出,BRK.B,伯克希尔-B,498.78,5,2493.9,已撤单,0@0.0,2025/08/04 09:34:14 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,09988,阿里巴巴-W,115.96,92,10668.32,全部成交,103@117.87,2025/08/04 10:11:46 (香港),限价单,当日有效,允许,,,,港股,HKD,,103,104.66,10779.98,2025/08/04 10:11:47 (香港),港股,HKD,,,3.71,14.34,0.48,12.17,0.72,0.29,0.02,,,,,,,,31.73
买入,01810,小米集团-W,54.73,202,11055.46,已撤单,0@0.0,2025/08/04 02:07:08 (香港),限价单,2025/08/11 (香港) 收盘前有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,INOD,Innodata,48.51,9,436.59,全部成交,11@48.07,2025/08/01 14:45:38 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,42.3,423.0,2025/08/01 16:12:36 (美东),美股,USD,,,0.94,1.02,0.03,,,,,,,,,0.01,,0.0,2.0
卖出,AMZN,亚马逊,200.57,31,6217.67,全部成交,30@199.94,2025/08/01 11:14:32 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,28,197.12,5519.36,2025/08/01 11:14:33 (美东),美股,USD,,,0.96,0.98,0.09,,,,,,,,,0.01,,0.0,2.04
卖出,AAPL,苹果,市价,5,,全部成交,5@222.26,2025/08/01 10:44:01 (美东),市价单,当日有效,,盘中,,,美股,USD,,5,199.61,998.05,2025/08/01 10:44:01 (美东),美股,USD,,,0.96,0.92,0.02,,,,,,,,,0.01,,0.0,1.91
卖出,AAPL,苹果,188.7,5,943.5,已撤单,0@0.0,2025/08/01 10:43:48 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,10.75,48,516.0,全部成交,48@10.55,2025/08/01 10:13:14 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,45,10.94,492.3,2025/08/01 10:13:14 (美东),美股,USD,,,1.03,1.03,0.16,,,,,,,,,,,0.0,2.22
卖出,AMZN,亚马逊,201.6,5,1008.0,全部成交,5@197.92,2025/08/01 10:02:37 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,218.87,1094.35,2025/08/01 10:02:49 (美东),美股,USD,,,0.95,0.96,0.02,,,,,,,,,0.01,,0.0,1.94
买入,TSLL,2倍做多TSLA ETF-Direxion,10.62,47,499.14,全部成交,54@9.48,2025/08/01 09:57:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,48,11.01,528.48,2025/08/01 09:57:04 (美东),美股,USD,,,1.08,0.97,0.15,,,,,,,,,,,0.0,2.2
卖出,INOD,Innodata,47.84,14,669.76,全部成交,14@41.09,2025/08/01 09:43:41 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,14,47.98,671.72,2025/08/01 09:43:42 (美东),美股,USD,,,1.06,1.08,0.05,,,,,,,,,0.01,,0.0,2.2
买入,FIG,FIGMA INC,92.36,1,92.36,已撤单,0@0.0,2025/07/31 14:15:34 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,FIGMA INC,98.97,1,98.97,全部成交,1@102.24,2025/07/31 14:15:18 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,1,101.9,101.9,2025/07/31 14:20:45 (美东),美股,USD,,,1.04,0.92,0.0,,,,,,,,,,,0.0,1.96
卖出,FIG,FIGMA INC,市价,1,,全部成交,1@119.38,2025/07/31 14:13:48 (美东),市价单,当日有效,,盘中,,,美股,USD,,1,110.55,110.55,2025/07/31 14:13:49 (美东),美股,USD,,,1.07,0.93,0.0,,,,,,,,,0.01,,0.0,2.01
买入,FIG,Figma,99.47,1,99.47,全部成交,1@102.35,2025/07/31 14:00:33 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,1,102.44,102.44,2025/07/31 14:03:27 (美东),美股,USD,,,0.99,1.05,0.0,,,,,,,,,,,0.0,2.04
买入,FIG,Figma,市价,1,,下单失败,0@0.0,2025/07/31 13:59:19 (美东),市价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,Figma,市价,1,,下单失败,0@0.0,2025/07/31 13:59:16 (美东),市价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,Figma,49.32,26,1282.32,已撤单,0@0.0,2025/07/31 09:32:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,Figma,49.0,24,1176.0,已撤单,0@0.0,2025/07/31 09:32:14 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,Figma,38.95,32,1246.4,已撤单,0@0.0,2025/07/31 09:32:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,Figma,市价,25,,下单失败,0@0.0,2025/07/31 09:31:48 (美东),市价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,FIG,Figma,38.16,20,763.2,已撤单,0@0.0,2025/07/31 08:56:31 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,AAPL,苹果,214.81,5,1074.05,全部成交,5@227.48,2025/07/30 10:53:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,201.71,1008.55,2025/07/30 10:53:36 (美东),美股,USD,,,0.97,0.96,0.02,,,,,,,,,0.01,,0.0,1.96
卖出,TSLA,特斯拉,市价,1,,全部成交,1@345.19,2025/07/25 12:07:44 (美东),市价单,当日有效,,盘中,,,美股,USD,,1,344.46,344.46,2025/07/25 12:07:45 (美东),美股,USD,,,1.04,1.06,0.0,,,,,,,,,0.01,,0.0,2.11
卖出,09988,阿里巴巴-W,115.45,101,11660.45,全部成交,105@115.72,2025/07/25 11:41:03 (香港),限价单,当日有效,允许,,,,港股,HKD,,99,116.57,11540.43,2025/07/25 11:41:04 (香港),港股,HKD,,,3.85,14.74,0.51,13.08,0.65,0.32,0.02,,,,,,,,33.17
卖出,GOOGL,谷歌-A,市价,5,,全部成交,5@195.48,2025/07/24 10:13:41 (美东),市价单,当日有效,,盘中,,,美股,USD,,5,198.86,994.3,2025/07/24 10:13:41 (美东),美股,USD,,,0.97,0.93,0.02,,,,,,,,,0.01,,0.0,1.93
买入,TSLA,特斯拉,283.44,1,283.44,全部成交,1@327.9,2025/07/24 09:51:33 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,1,319.61,319.61,2025/07/24 09:51:33 (美东),美股,USD,,,0.9,0.93,0.0,,,,,,,,,,,0.0,1.83
买入,TSLA,特斯拉,310.39,3,931.17,已撤单,0@0.0,2025/07/24 09:51:06 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLA,特斯拉,277.31,3,831.93,已撤单,0@0.0,2025/07/24 09:50:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,OSCR,Oscar Health,13.03,78,1016.34,全部成交,73@14.74,2025/07/22 12:17:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,79,13.43,1060.97,2025/07/22 13:37:01 (美东),美股,USD,,,0.99,0.96,0.26,,,,,,,,,0.01,,0.0,2.22
买入,OSCR,Oscar Health,12.28,68,835.04,全部成交,71@13.46,2025/07/22 07:20:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,64,12.88,824.32,2025/07/22 08:50:41 (美东),美股,USD,,,1.07,0.94,0.22,,,,,,,,,,,0.0,2.23
买入,OSCR,Oscar Health,14.28,73,1042.44,已撤单,0@0.0,2025/07/21 09:23:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,OSCR,Oscar Health,12.54,77,965.58,已撤单,0@0.0,2025/07/18 09:15:50 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,BRK.B,伯克希尔-B,470.48,5,2352.4,全部成交,5@454.93,2025/07/17 09:41:14 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,501.06,2505.3,2025/07/17 09:41:20 (美东),美股,USD,,,1.07,0.92,0.02,,,,,,,,,,,0.0,2.01
买入,OSCR,Oscar Health,15.08,82,1236.56,全部成交,83@13.9,2025/07/11 10:07:29 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,87,13.32,1158.84,2025/07/11 15:38:43 (美东),美股,USD,,,1.08,0.95,0.23,,,,,,,,,,,0.0,2.26
买入,OSCR,Oscar Health,15.99,86,1375.14,全部成交,88@17.47,2025/07/08 09:38:51 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,87,16.35,1422.45,2025/07/08 09:38:51 (美东),美股,USD,,,1.08,1.01,0.26,,,,,,,,,,,0.0,2.35
卖出,TSLL,2倍做多TSLA ETF-Direxion,9.89,119,1176.91,全部成交,113@9.25,2025/07/07 09:48:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,126,10.51,1324.26,2025/07/07 09:48:37 (美东),美股,USD,,,0.93,1.05,0.39,,,,,,,,,0.02,,0.01,2.4
卖出,AAPL,苹果,194.79,9,1753.11,全部成交,10@204.97,2025/07/03 11:42:07 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,9,224.12,2017.08,2025/07/03 11:42:07 (美东),美股,USD,,,1.08,0.95,0.03,,,,,,,,,0.01,,0.0,2.07
卖出,AAPL260116C215000,AAPL 260116 215.00C,16.34,1,16.34,全部成交,1@14.13,2025/07/01 10:48:31 (美东),限价单,当日有效,,,,,美股,USD,,1,15.02,15.02,2025/07/01 10:48:31 (美东),美股,USD,,,2.09,0.3,,,,,,0.01,0.02,0.18,,0.01,,0.0,2.61
买入,TSLL,2倍做多TSLA ETF-Direxion,11.18,40,447.2,全部成交,43@11.01,2025/07/01 09:44:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,39,11.22,437.58,2025/07/01 09:44:52 (美东),美股,USD,,,0.92,0.96,0.12,,,,,,,,,,,0.0,2.0
买入,GOOGL,谷歌-A,166.51,5,832.55,全部成交,5@179.45,2025/06/30 12:01:19 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,165.37,826.85,2025/06/30 12:01:20 (美东),美股,USD,,,0.96,0.9,0.02,,,,,,,,,,,0.0,1.88
买入,TSLL,2倍做多TSLA ETF-Direxion,13.0,74,962.0,全部成交,82@12.62,2025/06/27 14:08:23 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,80,12.38,990.4,2025/06/27 14:08:23 (美东),美股,USD,,,1.08,1.05,0.22,,,,,,,,,,,0.0,2.35
卖出,TSLL,2倍做多TSLA ETF-Direxion,12.55,24,301.2,全部成交,24@13.36,2025/06/26 11:48:45 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,26,12.31,320.06,2025/06/26 11:48:50 (美东),美股,USD,,,1.08,0.91,0.09,,,,,,,,,0.01,,0.0,2.09
卖出,CONL,2倍做多COIN ETF-GraniteShares,47.41,31,1469.71,全部成交,32@50.11,2025/06/26 10:48:54 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,30,56.15,1684.5,2025/06/26 10:48:54 (美东),美股,USD,,,0.95,1.06,0.1,,,,,,,,,0.01,,0.0,2.12
买入,AAPL,苹果,195.73,5,978.65,全部成交,5@203.72,2025/06/24 11:44:24 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,191.33,956.65,2025/06/24 11:44:26 (美东),美股,USD,,,1.04,1.04,0.02,,,,,,,,,,,0.0,2.1
卖出,CONL,2倍做多COIN ETF-GraniteShares,45.98,21,965.58,全部成交,18@40.12,2025/06/24 11:43:19 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,13,45.98,597.74,2025/06/24 11:43:50 (美东),美股,USD,,,1.05,0.96,0.06,,,,,,,,,0.02,,0.0,2.09
,,,,,,,,,,,,,,,,,,6,40.87,245.22,2025/06/24 11:43:33 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
卖出,INOD,Innodata,46.89,14,656.46,全部成交,14@51.6,2025/06/24 11:18:02 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,13,48.9,635.7,2025/06/24 11:18:06 (美东),美股,USD,,,0.98,1.07,0.04,,,,,,,,,0.01,,0.0,2.1
卖出,TSLL,2倍做多TSLA ETF-Direxion,13.87,10,138.7,全部成交,10@13.66,2025/06/24 10:28:47 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,13.11,131.1,2025/06/24 10:28:47 (美东),美股,USD,,,0.92,1.08,0.03,,,,,,,,,0.01,,0.0,2.04
买入,INOD,Innodata,46.72,19,887.68,全部成交,21@46.76,2025/06/23 12:44:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,19,49.95,949.05,2025/06/23 12:44:37 (美东),美股,USD,,,0.89,0.99,0.06,,,,,,,,,,,0.0,1.94
卖出,INOD,Innodata,49.8,20,996.0,下单失败,0@0.0,2025/06/23 12:44:35 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,INOD,Innodata,47.23,20,944.6,全部成交,19@43.39,2025/06/23 09:33:29 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,17,46.48,790.16,2025/06/23 09:33:31 (美东),美股,USD,,,0.92,1.08,0.06,,,,,,,,,0.01,,0.0,2.07
买入,CONL,2倍做多COIN ETF-GraniteShares,36.69,47,1724.43,全部成交,51@37.3,2025/06/20 12:54:35 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,51,38.51,1964.01,2025/06/20 12:54:48 (美东),美股,USD,,,1.07,0.94,0.15,,,,,,,,,,,0.0,2.16
买入,AAPL,苹果,207.08,5,1035.4,全部成交,5@181.12,2025/06/20 11:36:20 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,187.07,935.35,2025/06/20 11:36:22 (美东),美股,USD,,,0.95,0.99,0.02,,,,,,,,,,,0.0,1.96
买入,09988,阿里巴巴-W,112.53,106,11928.18,全部成交,99@107.47,2025/06/19 13:13:35 (香港),限价单,当日有效,允许,,,,港股,HKD,,109,110.06,11996.54,2025/06/19 13:13:35 (香港),港股,HKD,,,3.03,14.88,2.12,11.62,0.67,0.28,0.02,,,,,,,,32.62
买入,AAPL260116C215000,AAPL 260116 215.00C,11.94,1,11.94,全部成交,1@10.39,2025/06/18 10:10:08 (美东),限价单,当日有效,,,,,美股,USD,,1,12.47,12.47,2025/06/18 10:10:09 (美东),美股,USD,,,1.89,0.29,,,,,,0.01,0.02,0.19,,,,0.0,2.4
卖出,TSLL,2倍做多TSLA ETF-Direxion,11.87,14,166.18,全部成交,16@11.39,2025/06/13 10:23:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,15,11.99,179.85,2025/06/13 10:23:27 (美东),美股,USD,,,0.93,1.04,0.05,,,,,,,,,0.01,,0.0,2.03
卖出,AAPL260116C235000,AAPL 260116 235.00C,5.75,2,11.5,全部成交,2@5.49,2025/06/13 10:22:47 (美东),限价单,当日有效,,,,,美股,USD,,2,6.37,12.74,2025/06/13 10:22:48 (美东),美股,USD,,,1.83,0.62,,,,,,0.03,0.04,0.36,,0.01,,0.01,2.9
买入,AAPL260116C235000,AAPL 260116 235.00C,6.34,1,6.34,下单失败,0@0.0,2025/06/13 09:36:40 (美东),限价单,当日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,AAPL260116C235000,AAPL 260116 235.00C,6.33,2,12.66,下单失败,0@0.0,2025/06/13 09:36:23 (美东),限价单,当日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,INOD,Innodata,46.15,20,923.0,全部成交,19@41.55,2025/06/10 13:07:31 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,17,39.36,669.12,2025/06/10 13:37:10 (美东),美股,USD,,,0.94,0.95,0.06,,,,,,,,,,,0.0,1.95
卖出,INOD,Innodata,46.05,18,828.9,全部成交,18@51.93,2025/06/10 11:14:17 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,3,43.95,131.85,2025/06/10 11:14:20 (美东),美股,USD,,,1.03,1.05,0.06,,,,,,,,,0.02,,0.0,2.16
,,,,,,,,,,,,,,,,,,17,50.27,854.59,2025/06/10 11:14:20 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,12.49,54,674.46,全部成交,54@11.18,2025/06/10 09:30:33 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,52,11.35,590.2,2025/06/10 09:30:34 (美东),美股,USD,,,1.06,0.9,0.15,,,,,,,,,,,0.0,2.11
买入,AAPL260116C235000,AAPL 260116 235.00C,7.59,1,7.59,全部成交,1@6.71,2025/06/09 13:35:35 (美东),限价单,当日有效,,,,,美股,USD,,1,7.28,7.28,2025/06/09 13:39:06 (美东),美股,USD,,,1.94,0.28,,,,,,0.01,0.02,0.18,,,,0.0,2.43
卖出,SBUX260116C100000,SBUX 260116 100.00C,5.65,1,5.65,全部成交,1@6.29,2025/06/09 09:35:03 (美东),限价单,当日有效,,,,,美股,USD,,1,5.47,5.47,2025/06/09 09:35:06 (美东),美股,USD,,,1.98,0.29,,,,,,0.01,0.02,0.18,,0.01,,0.0,2.49
卖出,INOD,Innodata,43.85,12,526.2,全部成交,11@47.03,2025/06/05 13:02:01 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,11,46.39,510.29,2025/06/05 13:02:28 (美东),美股,USD,,,0.96,0.98,0.04,,,,,,,,,0.01,,0.0,1.99
买入,GOOGL,谷歌-A,163.67,5,818.35,全部成交,5@181.61,2025/06/04 13:29:45 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,165.9,829.5,2025/06/04 13:29:45 (美东),美股,USD,,,0.98,1.0,0.02,,,,,,,,,,,0.0,2.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,13.85,92,1274.2,全部成交,100@13.46,2025/06/04 12:33:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,98,12.57,1231.86,2025/06/04 12:33:06 (美东),美股,USD,,,1.03,0.91,0.3,,,,,,,,,0.02,,0.0,2.26
买入,INOD,Innodata,46.94,16,751.04,已撤单,0@0.0,2025/06/04 10:28:39 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,14.83,109,1616.47,全部成交,91@14.29,2025/06/04 10:27:58 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,96,14.28,1370.88,2025/06/04 10:27:59 (美东),美股,USD,,,1.03,1.01,0.3,,,,,,,,,,,0.0,2.34
卖出,TSM,台积电,210.21,9,1891.89,全部成交,9@199.57,2025/06/04 10:09:00 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,210.77,2107.7,2025/06/04 10:09:00 (美东),美股,USD,,,1.07,1.08,0.03,,,,,,,,,0.01,,0.0,2.19
买入,INOD,Innodata,44.25,23,1017.75,全部成交,27@40.96,2025/06/03 09:39:20 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,27,41.98,1133.46,2025/06/03 14:05:46 (美东),美股,USD,,,1.02,1.0,0.08,,,,,,,,,,,0.0,2.1
买入,INOD,Innodata,市价,26,,全部成交,23@37.21,2025/05/29 11:50:01 (美东),市价单,当日有效,,盘中,,,美股,USD,,25,40.35,1008.75,2025/05/29 11:50:01 (美东),美股,USD,,,1.06,0.9,0.08,,,,,,,,,,,0.0,2.04
买入,INOD,Innodata,35.52,40,1420.8,已撤单,0@0.0,2025/05/29 08:43:54 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,INOD,Innodata,37.6,25,940.0,已撤单,0@0.0,2025/05/29 08:43:43 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,INOD,Innodata,38.04,27,1027.08,已撤单,0@0.0,2025/05/29 08:43:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,GOOGL,谷歌-A,182.96,11,2012.56,全部成交,10@166.99,2025/05/27 15:11:59 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,185.0,1850.0,2025/05/27 15:11:59 (美东),美股,USD,,,1.03,0.99,0.03,,,,,,,,,,,0.0,2.05
买入,AMZN,亚马逊,213.84,20,4276.8,全部成交,21@190.51,2025/05/27 15:11:30 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,19,201.08,3820.52,2025/05/27 15:11:32 (美东),美股,USD,,,1.04,0.91,0.07,,,,,,,,,,,0.0,2.02
卖出,AAPL260116C235000,AAPL 260116 235.00C,7.19,1,7.19,已撤单,0@0.0,2025/05/23 14:36:07 (美东),限价单,当日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,AAPL260116C235000,AAPL 260116 235.00C,6.52,1,6.52,全部成交,1@7.36,2025/05/23 14:30:54 (美东),限价单,当日有效,,,,,美股,USD,,1,6.34,6.34,2025/05/23 14:30:54 (美东),美股,USD,,,1.83,0.3,,,,,,0.01,0.02,0.19,,,,,2.35
买入,AAPL,苹果,市价,10,,全部成交,11@202.05,2025/05/23 14:24:07 (美东),市价单,当日有效,,盘中,,,美股,USD,,9,180.58,1625.22,2025/05/23 14:24:08 (美东),美股,USD,,,0.92,1.06,0.03,,,,,,,,,,,,2.01
买入,AAPL,苹果,197.79,10,1977.9,已撤单,0@0.0,2025/05/23 14:23:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,AAPL,苹果,188.99,22,4157.78,全部成交,22@190.73,2025/05/22 10:04:34 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,22,218.18,4799.96,2025/05/22 10:04:39 (美东),美股,USD,,,1.04,1.06,0.06,,,,,,,,,0.01,,,2.17
卖出,AAPL260116C235000,AAPL 260116 235.00C,8.6,2,17.2,全部成交,2@9.15,2025/05/22 10:01:56 (美东),限价单,当日有效,,,,,美股,USD,,1,8.11,8.11,2025/05/22 10:02:00 (美东),美股,USD,,,1.84,0.6,,,,,,0.02,0.04,0.35,,0.02,,,2.87
,,,,,,,,,,,,,,,,,,1,8.82,8.82,2025/05/22 10:02:00 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,TSM,台积电,182.77,26,4752.02,已撤单,0@0.0,2025/05/19 09:42:56 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLA,特斯拉,305.74,13,3974.62,全部成交,14@349.41,2025/05/19 09:39:12 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,12,334.75,4017.0,2025/05/19 09:39:16 (美东),美股,USD,,,1.04,1.01,0.04,,,,,,,,,0.01,,,2.1
卖出,TSLL,2倍做多TSLA ETF-Direxion,14.44,102,1472.88,全部成交,105@12.94,2025/05/19 09:38:59 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,97,13.03,1263.91,2025/05/19 09:38:59 (美东),美股,USD,,,1.07,1.03,0.27,,,,,,,,,0.02,,,2.39
卖出,TSLL,2倍做多TSLA ETF-Direxion,13.25,130,1722.5,全部成交,132@15.4,2025/05/19 09:13:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,118,14.27,1683.86,2025/05/19 09:13:41 (美东),美股,USD,,,1.05,1.05,0.35,,,,,,,,,0.02,,,2.47
买入,SBUX260116C100000,SBUX 260116 100.00C,4.03,1,4.03,全部成交,1@4.14,2025/05/14 09:44:54 (美东),限价单,当日有效,,,,,美股,USD,,1,3.84,3.84,2025/05/14 09:44:56 (美东),美股,USD,,,2.08,0.3,,,,,,0.01,0.02,0.17,,,,,2.58
